Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01    25008     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      0.01     0.00    50018     0.00     0.00  std::char_traits<char>::eof()
  0.00      0.01     0.00    41680     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      0.01     0.00    33330     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::base() const
  0.00      0.01     0.00    33088     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator*() const
  0.00      0.01     0.00    24870     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator++()
  0.00      0.01     0.00    16674     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
  0.00      0.01     0.00    16652     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<char const>::operator()<__gnu_cxx::__normal_iterator<char*, std::string> >(__gnu_cxx::__normal_iterator<char*, std::string>)
  0.00      0.01     0.00    16643     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&)
  0.00      0.01     0.00    12747     0.00     0.00  CMatrix::reset()
  0.00      0.01     0.00     8337     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
  0.00      0.01     0.00     8336     0.00     0.00  bool std::operator!=<char, std::char_traits<char> >(std::istreambuf_iterator<char, std::char_traits<char> > const&, std::istreambuf_iterator<char, std::char_traits<char> > const&)
  0.00      0.01     0.00     8334     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
  0.00      0.01     0.00     8334     0.00     0.00  std::char_traits<char>::to_char_type(int const&)
  0.00      0.01     0.00     8334     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
  0.00      0.01     0.00     6408     0.00     0.00  CMatrix::~CMatrix()
  0.00      0.01     0.00     4289     0.00     0.00  CMatrix::copy(CMatrix const&)
  0.00      0.01     0.00     4224     0.00     0.00  CMatrix::setSubMatrix(int, int, CMatrix const&)
  0.00      0.01     0.00     2175     0.00     0.00  CMatrix::CMatrix(CMatrix const&)
  0.00      0.01     0.00     2112     0.00     0.00  CMatrix::operator=(CMatrix const&)
  0.00      0.01     0.00     2112     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.01     0.00     2052     0.00     0.00  CMatrix::CMatrix(int, int, int, double)
  0.00      0.01     0.00     2051     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::copy(double)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::addColumn(CMatrix const&)
  0.00      0.01     0.00     2048     0.00     0.00  CMatrix::CMatrix(double)
  0.00      0.01     0.00      110     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >::base() const
  0.00      0.01     0.00      107     0.00     0.00  CMatrix* std::__addressof<CMatrix>(CMatrix&)
  0.00      0.01     0.00       71     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::size() const
  0.00      0.01     0.00       66     0.00     0.00  CMatrix::CMatrix()
  0.00      0.01     0.00       65     0.00     0.00  CMatrix::CMatrix(std::string, int, int, int, double)
  0.00      0.01     0.00       64     0.00     0.00  CMatrix::addRow(CMatrix const&)
  0.00      0.01     0.00       57     0.00     0.00  void std::_Destroy<CMatrix>(CMatrix*)
  0.00      0.01     0.00       57     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.01     0.00       55     0.00     0.00  bool __gnu_cxx::operator!=<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >(__gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > > const&, __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > > const&)
  0.00      0.01     0.00       50     0.00     0.00  void std::_Construct<CMatrix, CMatrix>(CMatrix*, CMatrix const&)
  0.00      0.01     0.00       43     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >::operator++()
  0.00      0.01     0.00       43     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >::operator*() const
  0.00      0.01     0.00       43     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::operator[](unsigned int)
  0.00      0.01     0.00       40     0.00     0.00  CMatrix::getName()
  0.00      0.01     0.00       37     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_M_get_Tp_allocator()
  0.00      0.01     0.00       34     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned int)
  0.00      0.01     0.00       34     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.01     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix const*, std::vector<CMatrix, std::allocator<CMatrix> > >::__normal_iterator(CMatrix const* const&)
  0.00      0.01     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<CMatrix>::max_size() const
  0.00      0.01     0.00       20     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00       17     0.00     0.00  void std::_Destroy_aux<false>::__destroy<CMatrix*>(CMatrix*, CMatrix*)
  0.00      0.01     0.00       17     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_M_deallocate(CMatrix*, unsigned int)
  0.00      0.01     0.00       17     0.00     0.00  void std::_Destroy<CMatrix*>(CMatrix*, CMatrix*)
  0.00      0.01     0.00       17     0.00     0.00  void std::_Destroy<CMatrix*, CMatrix>(CMatrix*, CMatrix*, std::allocator<CMatrix>&)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<CMatrix>::deallocate(CMatrix*, unsigned int)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<CMatrix>::allocate(unsigned int, void const*)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<CMatrix> >::deallocate(std::allocator<CMatrix>&, CMatrix*, unsigned int)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<CMatrix> >::allocate(std::allocator<CMatrix>&, unsigned int)
  0.00      0.01     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<CMatrix*, std::vector<CMatrix, std::allocator<CMatrix> > >::base() const
  0.00      0.01     0.00       16     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_M_allocate(unsigned int)
  0.00      0.01     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<CMatrix>::~new_allocator()
  0.00      0.01     0.00       13     0.00     0.00  std::allocator<CMatrix>::~allocator()
  0.00      0.01     0.00       13     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00       13     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::~_Vector_base()
  0.00      0.01     0.00       13     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::~vector()
  0.00      0.01     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<CMatrix>::new_allocator(__gnu_cxx::new_allocator<CMatrix> const&)
  0.00      0.01     0.00       12     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<CMatrix> >::_S_select_on_copy(std::allocator<CMatrix> const&)
  0.00      0.01     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::difference_type __gnu_cxx::operator-<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&)
  0.00      0.01     0.00       12     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::end() const
  0.00      0.01     0.00       12     0.00     0.00  std::vector<CMatrix, std::allocator<CMatrix> >::begin() const
  0.00      0.01     0.00       12     0.00     0.00  std::allocator<CMatrix>::allocator(std::allocator<CMatrix> const&)
  0.00      0.01     0.00       12     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_Vector_impl::_Vector_impl(std::allocator<CMatrix> const&)
  0.00      0.01     0.00       12     0.00     0.00  std::_Vector_base<CMatrix, std::allocator<CMatrix> >::_M_create_storage(unsigned int)
